Servo1,Servo2,Servo3,Servo4
107.0,120.0,120.0,40.0
107.0,120.0,105.0,40.0
107.0,167.0,105.0,40.0
107.0,167.0,105.0,40.0
107.0,167.0,105.0,40.0
107.0,167.0,105.0,40.0
107.0,167.0,105.0,95.0
107.0,167.0,105.0,95.0
107.0,167.0,105.0,95.0
107.0,167.0,105.0,95.0
107.0,167.0,105.0,95.0
107.0,140.0,105.0,95.0
107.0,140.0,105.0,95.0
30.0,110.0,40.0,95.0
30.0,110.0,40.0,95.0
30.0,110.0,40.0,95.0
30.0,138.0,40.0,95.0
30.0,138.0,40.0,95.0
30.0,138.0,40.0,95.0
30.0,138.0,40.0,95.0
30.0,138.0,40.0,40.0
30.0,138.0,40.0,40.0
30.0,138.0,40.0,40.0
30.0,138.0,40.0,40.0
30.0,120.0,40.0,40.0


